DATE,velocity,error
mjd,km/s,km/s
48444.516,-96.475998,10.669
48444.563,-90.288113,4.93923
48445.08,12.083109,3.8684
48445.503,89.236409,4.91924
48445.55,98.464785,4.57546
48445.644,122.34741,2.35083
48445.684,122.92899,3.139
48445.699,128.10599,2.735
48445.715,117.253,3.445
48445.973,163.63077,6.0487
48446.02,170.6203,6.86077
48446.208,196.44964,2.75689
48446.537,211.21277,2.21729
48446.725,208.12168,3.51283
48447.054,194.16036,2.62976
48448.276,4.6082863,5.90066
48448.558,-52.851794,2.72618
48450.25,-196.72484,3.32098
48450.626,-157.85504,5.09873
48450.908,-113.6098,1.7844
48451.848,63.698245,3.89319
48451.895,79.132203,6.20526
48452.835,208.1828,3.50331
48452.976,207.30568,2.92194
48453.728,173.73625,4.55655
48454.01,132.73923,6.92153
48454.01,136.67107,4.41432
48454.622,23.37783,5.66586
48454.904,-39.157405,3.92949
48454.951,-41.926584,2.9166
48455.092,-69.898792,7.06502
48455.985,-192.96548,3.25721
48456.267,-214.83843,2.7351
48457.301,-123.47469,4.01697
48457.771,-41.480888,1.1238
48458.711,136.50657,3.97407
48458.993,181.67527,2.53003
48459.651,209.83727,5.17923
48459.98,201.68822,5.68429
48460.121,183.15723,6.19221
48460.168,182.50581,1
48460.497,131.75114,3.85394
48460.544,128.86875,2.99544
48461.202,1.9565945,3.34738
48461.484,-53.333909,4.02734
48461.578,-75.904568,5.15172
48462.706,-205.3126,4.75961
48462.8,-217.26858,4.42309
48463.317,-187.40417,4.59686
48464.022,-75.636928,3.03084
48464.68,53.00901,3.10724
48465.573,181.66684,2.57803
48466.842,145.87022,3.27057
48466.936,135.09069,5.74294
48467.359,61.153122,5.1256
48468.535,-160.7671,2.04634
48469.146,-214.89719,3.4778
48469.287,-210.69112,6.07613
48470.744,-28.686805,2.19473
48470.838,-18.006698,4.30111
48470.885,-8.8529305,3.26891
48471.026,30.308784,5.60587
48471.355,88.602489,4.35572
48471.449,103.86209,5.51177
48472.107,190.08156,3.08774
48473.799,62.654841,2.60004
48475.068,-171.12925,4.95834
48475.162,-172.84014,4.64444
48475.162,-174.81232,4.82618
48475.303,-197.4057,4.50741
48475.518,-214.90799,3.435
48475.534,-217.30499,3.13
48475.549,-218.004,4.04
48475.569,-221.13,3.516
48475.583,-209.14099,4.253
48475.598,-215.323,3.664
48475.618,-217.909,4.216
48475.632,-221.21201,3.808
48475.647,-216.40399,3.443
48475.738,-210.01401,5.688
48476.196,-186.87265,7.86622
48476.29,-180.26659,5.12148
48476.492,-145.931,3.391
48476.508,-141.78601,3.23
48476.524,-141.216,2.283
48476.544,-135.58301,3.743
48476.555,-142.43201,4.048
48476.566,-137.505,3.619
48476.578,-138.74701,3.583
48476.635,-143.435,4.796
48476.647,-122.65701,4.203
48476.658,-134.483,4.802
48476.669,-126.965,6.984
48476.683,-124.736,5.175
48476.694,-81.531006,5.602
48476.705,-116.413,5.532
48476.716,-101.29401,6.551
48476.734,-100.032,5.833
48476.807,-114.98454,5.90183
48476.807,-100.48821,5.02054
48477.136,-39.812954,3.81913
48477.535,21.905998,4.602
48477.55,32.409996,4.271
48477.559,45.801633,4.8664
48477.567,29.706001,3.236
48477.587,28.514,3.877
48477.601,33.179001,3.213
48477.616,35.031998,4.24
48477.634,37.067001,5.074
48477.649,60.934998,4.76
48477.668,55.640999,4.891
48478.311,170.39917,5.06606
48478.587,198.599,2.46
48478.604,193.52798,2.793
48478.619,192.52301,3.801
48478.638,198.729,4.48
48478.653,200.69699,3.395
48478.668,198.61099,2.693
48478.687,195.42099,2.999
48478.703,209.43799,3.837
48478.717,195.203,6.55
48478.828,207.0273,4.72054
48478.875,210.63677,5.89578
48479.063,208.66094,3.35104
48479.11,203.96814,3.82987
48479.251,204.51031,3.89492
48479.674,171.40009,5.41873
48480.755,-30.80533,2.68819
48481.508,-165.3645,3.08407
48481.978,-207.5361,6.00561
48482.683,-178.13212,3.94769
48483.482,-65.742043,4.58239
48485.033,195.08069,4.94364
48485.174,206.86125,5.11528
48485.55,211.80068,5.18369
48485.879,192.12261,4.81881
48485.926,192.65624,3.39368
48485.926,185.52387,5.83546
48486.631,86.358033,4.17387
48486.634,94.370995,2.786
48486.662,99.418999,3.231
48487.289,-51.833452,2.19951
48487.43,-71.576019,2.54057
48487.681,-112.763,6.107
48488.182,-191.57571,2.69038
48488.489,-213.17099,2.307
48489.122,-189.7094,4.14504
48489.263,-174.7467,3.22736
48489.498,-142.41358,1.61327
48489.733,-112.43281,4.18168
48490.203,-14.209005,5.88369
48490.579,49.894382,8.04405
48491.519,207.32001,2.842
